B11,B12,Clay_CMR,Elevation,Iron_Oxide,Label,NDSI,NDVI,NDWI,Site
4814.0,4403.25,1.0932833702378926,991,2.276845079787234,1,-0.46196284890174866,0.13678018748760223,-0.34130623936653137,"Karibib, Namibia"
2206.0,1492.0,1.4785522788203753,1325,1.8266369047619047,1,-0.6161172389984131,0.4965135455131531,-0.5537102222442627,"Arcadia, Zimbabwe"
3897.6666666666665,2943.8,1.3240256357995333,1117,2.1954344281388307,1,-0.5057141780853271,0.20057488977909088,-0.377431184053421,"Zulu, Zimbabwe"
1274.0,538.0,2.3680297397769516,832,1.1155778894472361,1,-0.4926772117614746,0.8796747922897339,-0.7780056595802307,"Besshi, Japan"
5036.666666666667,4899.75,1.0279436025647568,4068,1.7115155131264916,1,-0.4158545732498169,0.08639223128557205,-0.24284933507442474,"Paso de Sico, Chile"
3352.25,2919.75,1.1481291206438908,496,1.4049435965494361,1,-0.1624452769756317,0.038323964923620224,-0.11580231785774231,"Searles Lake, USA"
5289.0,5133.166666666666,1.030358128510666,183,1.6546822742474916,1,-0.2616889178752899,0.05795549228787422,-0.17904509603977203,"Bristol Lake, USA"
3572.3333333333335,3271.6666666666665,1.0919001528273053,812,1.620377358490566,1,-0.3619438409805298,0.1161426454782486,-0.23664435744285583,"Cadiz Lake, USA"
3693.25,3226.0,1.1448388096714197,-69,1.6389099167297503,1,-0.37009042501449585,0.2221091091632843,-0.3340305984020233,"Salton Sea Geothermal, USA"
1511.0,659.0,2.2928679817905917,112,1.1818181818181819,1,-0.5846880078315735,0.7874948978424072,-0.693379819393158,"Smackover Surface Proxy, USA"
2799.1428571428573,2623.075438596491,1.067122514265382,3935,2.052300948108879,1,-0.34640946984291077,0.07129055261611938,-0.2734697461128235,"Salar de Navidad, Chile"
27.647058823529413,19.166666666666668,1.4424552429667519,3661,0.8561957505724479,1,0.9914493560791016,-0.5501084327697754,0.6108574867248535,"Salar de Coipasa, Bolivia"
4288.363636363636,2781.166666666667,1.541929754790065,3538,1.3560537203033913,1,-0.07854202389717102,0.034241266548633575,-0.1168636605143547,"Salar de Pajonales, Chile"
